,title,subtiltle,link
66,"SICK & VILE Guimaraes and Willock sent vile racist abuse on social media after Arsenal win
NEWCASTLE released a statement slamming the racist messages. The pair were both targeted by sick messages on social media.",Guimaraes and Willock sent vile racist abuse on social media after Arsenal win,https://www.thesun.co.uk/sport/24636982/newcastle-bruno-guimaraes-joe-willock-racist-abuse-arsenal/
67,LUTON 1 LIVERPOOL 1 Emotional Luis Diaz scores dramatic late equaliser against Hatters,Emotional Luis Diaz scores dramatic late equaliser against Hatters,https://www.thesun.co.uk/sport/24573224/luton-vs-liverpool-live-score-latest-premier-league-updates/
68,FOREST 2 ASTON VILLA 0 Aina stunner and Martinez blunder hands Cooper's side valuable win,Aina stunner and Martinez blunder hands Cooper's side valuable win,https://www.thesun.co.uk/sport/24572425/nottingham-forest-vs-aston-villa-live-score-latest-premier-league-updates/
69,HEN DO Dean Henderson's return date revealed after scan following injury on Man Utd return,Dean Henderson's return date revealed after scan following injury on Man Utd return,https://www.thesun.co.uk/sport/24637516/dean-henderson-crystal-palace-injury-man-utd/
70,CARR BLIMEY Carragher & Neville slam Arsenal for backing Mikel Arteta after angry VAR rant,Carragher & Neville slam Arsenal for backing Mikel Arteta after angry VAR rant,https://www.thesun.co.uk/sport/24638978/arsenal-mikel-arteta-var-jamie-carragher-gary-neville-react/
71,"'GORGEOUS' Chelsea icon's daughter shows what's under her robe & is compared to film star
JADE left her followers in awe thanks to her latest racy social media post. She stunned her fans with an incredible outfit change.",Chelsea icon's daughter shows what's under her robe & is compared to film star,https://www.thesun.co.uk/sport/24646360/chelsea-frank-leboeuf-daughter-jade-robe-hollywood/
72,RED-FACED Harry Kane suffers blow off pitch despite sparkling form for Bayern Munich move,Harry Kane suffers blow off pitch despite sparkling form for Bayern Munich move,https://www.thesun.co.uk/sport/24640779/harry-kane-living-hotel-tab-house-bayern-munich/
73,TUCH TO TAKE Tuchel walks out of interview after Bayern Munich thump Borussia Dortmund,Tuchel walks out of interview after Bayern Munich thump Borussia Dortmund,https://www.thesun.co.uk/sport/24637741/thomas-tuchel-bayern-munich-borussia-dortmund/
74,BELL TOLLS Bellingham ‘considering shock new career providing security for footballers’,Bellingham ‘considering shock new career providing security for footballers’,https://www.thesun.co.uk/sport/24635206/jude-bellingham-real-madrid-england-home-security/
75,WAY-ING IN Wayne Lineker releases statement over 'disgusting' chants directed towards him,Wayne Lineker releases statement over 'disgusting' chants directed towards him,https://www.thesun.co.uk/sport/24640958/wayne-lineker-releases-statement-peter-crouch-chants/
76,TROY DEENEY Toney has two options but doesn't fit Arsenal and would he want Chelsea circus?,Toney has two options but doesn't fit Arsenal and would he want Chelsea circus?,https://www.thesun.co.uk/sport/24626236/ivan-toney-arsenal-transfer-chelsea/
77,KARREN BRADY Why do men hurl missiles at team buses? It's lucky no one died in Lyon attack,Why do men hurl missiles at team buses? It's lucky no one died in Lyon attack,https://www.thesun.co.uk/sport/24626544/team-bus-attack-lyon-karen-brady/
78,NEIL CUSTIS Ten Hag is set to be spat out by Man Utd monster only Fergie could tame,Ten Hag is set to be spat out by Man Utd monster only Fergie could tame,https://www.thesun.co.uk/sport/24615590/pathetic-man-utd-ten-hag-spat-out/
79,"REDDY & GO Fans love Sky presenter Melissa Reddy’s outfit as she puts on leggy display
MELISSA REDDY left little to the imagination as she donned a white outfit on Soccer Sunday which left fans stunned. The presenter has been racking up the followers on social media for posts such as this.",Fans love Sky presenter Melissa Reddy’s outfit as she puts on leggy display,https://www.thesun.co.uk/sport/24643977/sky-sports-melissa-reddy-leggy-display/
80,GOI-GEOUS Ex-Barcelona Wag and 'world's hottest woman' risque post risks Instagram ban,Ex-Barcelona Wag and 'world's hottest woman' risque post risks Instagram ban,https://www.thesun.co.uk/sport/24640184/barcelona-wag-worlds-hottest-woman-jessica-goicoecha-bartra/
81,'NAUGHTY ANGLE' 'Gorgeous' Emma Louise Jones enjoys Leeds win at Foxes in low-cut jumpsuit,'Gorgeous' Emma Louise Jones enjoys Leeds win at Foxes in low-cut jumpsuit,https://www.thesun.co.uk/sport/24627934/emma-louise-jones-leicester-0-1-leeds-jumpsuit/
